ligand0,max_PZAP_zeta,max_PZAP_mixed,max_PZAP_gamma
60,0.11546323353980938,0.06290165966428617,0.024606237519365394
120,0.3293466223698782,0.17463550861601188,0.057742096108283125
180,0.5665118476759387,0.3191790042181842,0.06484489594108273
240,0.6956254701177204,0.4790919590984281,0.06454102907092918
300,0.7202983056003442,0.6503705463824869,0.06645057243061317
360,0.7240990224896982,0.7645300239042526,0.06546708909615645
420,0.7268910461228805,0.7991783702343455,0.06536881846857803
480,0.7290764458408695,0.8130550502688204,0.06551522351739192
540,0.7300873112480945,0.8119368566604267,0.06667164483207554
600,0.7286745700971257,0.8142473961015786,0.06636922801716821
