ligand0,max_PZAP_zeta,max_PZAP_mixed,max_PZAP_gamma
60,0.1140704229233019,0.06248540734788118,0.025213230895673386
120,0.32035701065219574,0.17541519826225144,0.06124907622856441
180,0.5655334898494088,0.32389221440129107,0.07194030269017802
240,0.7884814387006371,0.485065357645356,0.07376360486156468
300,0.8673210197477159,0.6618273612990936,0.07243344560976138
360,0.8830710652119708,0.8194794818589894,0.0743517761704009
420,0.882721777757563,0.9250561874731691,0.07278552787157867
480,0.8844794194185975,0.9439876727336978,0.07273532668881506
540,0.8874704361510063,0.9514051169632775,0.07380243119944589
600,0.8878662366139448,0.9574375161719239,0.07528239202657808
